habitable_surface,bedrooms_count,post_code,num_facade,target
107.0,3.0,1150,3.0,475000.0
358.0,5.0,1970,3.0,895000.0
211.0,2.0,1652,4.0,690000.0
200.0,3.0,1341,4.0,950000.0
148.0,3.0,9300,2.0,339000.0
135.0,3.0,7012,2.0,149000.0
235.0,3.0,2550,4.0,699500.0
356.0,4.0,2500,2.0,525000.0
369.0,5.0,2270,4.0,228000.0
157.0,2.0,3890,2.0,195000.0
170.0,4.0,6792,4.0,490000.0
183.0,4.0,4610,3.0,135000.0
200.0,3.0,6240,2.0,149000.0
100.0,2.0,6224,3.0,280000.0
159.0,2.0,2840,2.0,299000.0
154.0,3.0,6280,4.0,289000.0
123.0,2.0,7390,2.0,150000.0
103.0,3.0,7522,2.0,175000.0
150.0,3.0,1640,4.0,745000.0
142.0,3.0,4920,2.0,279000.0
320.0,4.0,7912,4.0,920000.0
125.0,2.0,1400,3.0,200000.0
183.0,4.0,4610,3.0,135000.0
245.0,4.0,5310,4.0,495000.0
358.0,5.0,1970,3.0,895000.0
183.0,4.0,4610,3.0,135000.0
173.0,3.0,4020,3.0,315000.0
208.0,3.0,9470,3.0,519000.0
100.0,2.0,6224,3.0,280000.0
155.0,3.0,7190,4.0,220000.0
95.0,2.0,9000,2.0,165000.0
152.0,3.0,9400,3.0,249000.0
185.0,3.0,1342,3.0,370000.0
178.0,4.0,1650,3.0,419000.0
107.0,3.0,1150,3.0,475000.0
173.0,3.0,4020,3.0,315000.0
228.0,5.0,9320,2.0,299000.0
284.0,4.0,1080,2.0,560000.0
107.0,3.0,1150,3.0,475000.0
210.0,4.0,9300,2.0,279000.0
224.0,4.0,9255,4.0,695000.0
192.0,3.0,2100,2.0,440000.0
155.0,3.0,7190,4.0,220000.0
358.0,5.0,1970,3.0,895000.0
173.0,3.0,4020,3.0,315000.0
200.0,3.0,5502,3.0,180000.0
140.0,4.0,4602,3.0,448000.0
153.0,3.0,2440,4.0,324000.0
138.0,4.0,4860,2.0,129500.0
158.0,3.0,2400,3.0,398000.0
186.0,3.0,2920,3.0,397000.0
100.0,2.0,6224,3.0,280000.0
178.0,3.0,1840,3.0,360000.0
139.0,3.0,4100,3.0,199000.0
220.0,4.0,6220,4.0,349000.0
157.0,3.0,1471,3.0,325000.0
141.0,3.0,6230,4.0,349900.0
185.0,4.0,4000,2.0,260000.0
208.0,4.0,2460,4.0,329000.0
100.0,2.0,6224,3.0,280000.0
110.0,3.0,5101,4.0,325000.0
183.0,4.0,4610,3.0,135000.0
174.0,4.0,2140,2.0,299000.0
220.0,3.0,4550,3.0,430000.0
330.0,4.0,6043,4.0,275000.0
173.0,3.0,4020,3.0,315000.0
100.0,2.0,6224,3.0,280000.0
124.0,2.0,6870,2.0,175000.0
100.0,2.0,3320,3.0,235000.0
224.0,4.0,9660,2.0,325000.0
154.0,3.0,7012,2.0,165000.0
120.0,3.0,6224,2.0,210000.0
183.0,4.0,4610,3.0,135000.0
378.0,4.0,1180,2.0,695000.0
193.0,3.0,9255,3.0,320000.0
150.0,3.0,5540,4.0,150000.0
138.0,4.0,9000,2.0,365000.0
77.0,2.0,4610,3.0,229000.0
150.0,3.0,4760,3.0,298527.0
130.0,2.0,7060,2.0,160000.0
187.0,3.0,1300,4.0,690000.0
100.0,2.0,6224,3.0,280000.0
183.0,4.0,4610,3.0,135000.0
188.0,3.0,3870,2.0,245000.0
228.0,5.0,4460,3.0,219000.0
100.0,2.0,6224,3.0,280000.0
231.0,3.0,8670,4.0,520000.0
110.0,3.0,1880,4.0,369000.0
106.0,2.0,1180,3.0,495000.0
169.0,3.0,4610,4.0,279000.0
165.0,4.0,1040,2.0,439000.0
358.0,5.0,1970,3.0,895000.0
155.0,3.0,7190,4.0,220000.0
128.0,4.0,2880,3.0,270000.0
223.0,3.0,3140,4.0,725000.0
140.0,2.0,1933,4.0,400000.0
155.0,3.0,7190,4.0,220000.0
358.0,5.0,1970,3.0,895000.0
155.0,3.0,7190,4.0,220000.0
202.0,3.0,2220,4.0,375000.0
124.0,3.0,4040,3.0,25000.0
245.0,5.0,1950,2.0,895000.0
177.0,3.0,1950,3.0,649000.0
358.0,5.0,1970,3.0,895000.0
358.0,5.0,1970,3.0,895000.0
173.0,3.0,4020,3.0,315000.0
183.0,4.0,4610,3.0,135000.0
77.0,2.0,4610,3.0,229000.0
100.0,2.0,6224,3.0,280000.0
258.0,5.0,9600,2.0,279000.0
199.0,3.0,1640,2.0,399000.0
155.0,3.0,7190,4.0,220000.0
220.0,4.0,1650,4.0,790000.0
285.0,3.0,7900,4.0,440000.0
219.0,4.0,6280,4.0,299000.0
100.0,3.0,4040,2.0,145000.0
155.0,3.0,7190,4.0,220000.0
183.0,4.0,4610,3.0,135000.0
